PictureID,Valence,Arousal,Moved,Connect,Reflect,Aware,Inspired,Awe,Interest,Hope,Sad,Fear,Anger,n,Group
1,4.222509309,5.152427823,4.972827797,4.497983847,5.636414949,5.744227677,3.315533083,4.114318479,5.554534464,3.115082336,3.51070568,3.181122658,4.011039848,21,All
3,6.265787568,4.787789346,4.005422753,4.090534758,3.93831704,3.8903358,3.262259565,4.017831304,4.721056452,3.761302128,3.046520966,2.758383017,2.266907322,20,All
6,2.48994847,5.930731434,5.828884781,5.803130345,6.724616568,6.859751569,3.147053703,3.796493864,4.87258304,2.151179515,5.741492609,5.691112007,5.727314463,22,All
8,6.885274889,4.755213132,5.347033793,4.89192249,5.63648077,5.258369252,5.539162547,4.879353974,5.899613268,5.82945768,1.963048164,2.262155585,1.627476417,22,All
10,6.03085337,6.10227089,4.11949087,5.034200617,5.602880612,4.832531796,5.505946429,4.682547054,5.347214462,5.465244589,2.017636733,1.945322293,2.164014913,18,All
11,5.806066957,4.688757454,5.15411903,5.051006863,5.700006036,5.132816357,4.583154169,4.462858529,5.339095147,4.073334463,3.378214294,3.620857333,3.480102258,20,All
12,6.736145483,5.444483783,4.199318483,5.058899703,5.362745882,5.090144383,5.435794765,4.369758079,5.346077006,5.473177295,1.955267989,1.847261829,1.644171122,20,All
13,7.121758848,5.95571025,5.513778711,5.505213198,5.048367826,4.551551695,5.855165318,4.660049769,5.86108789,5.74717326,1.652416932,2.200504642,1.707617141,16,All
15,5.889416722,4.970354104,3.805411767,4.45334591,4.940247447,4.699606002,4.154868746,4.624497999,5.543487622,3.374636011,2.479875684,2.957814176,2.380465941,27,All
33,7.193906468,4.677514854,5.099435815,5.579025654,5.691421455,5.518316298,5.074286151,4.515752412,5.532801157,5.455842066,2.325625599,2.109993371,1.815087742,22,All
35,4.176455725,4.913739791,3.721047935,4.823790506,5.698459156,5.41581338,3.44649383,4.083455067,5.757249154,2.830756125,3.638269179,3.461215952,2.81536955,21,All
39,3.550975469,6.04453197,4.207939639,5.499160311,6.992988819,7.045618371,3.775266778,4.094577586,5.105343383,2.347479982,5.306182617,5.586594088,5.960151116,18,All
40,3.362894747,6.603168614,5.699104029,5.386879377,6.916059352,6.968793108,4.086446613,4.367552876,5.165205491,3.660561488,5.331049425,5.447283113,5.487407982,17,All
52,4.989798969,5.356893324,3.424156869,3.867273619,4.780811951,4.117677991,3.224472709,4.303775397,5.291989099,3.059907253,3.356974308,3.354196797,2.747303948,22,All
58,6.450480438,5.190915887,5.087202056,5.552866867,6.299138407,6.211312986,5.26057096,4.724717067,5.359963575,5.401571472,2.80696377,2.535015493,2.920476646,19,All
59,6.332650859,4.518497708,5.157537478,5.307113145,5.753218929,6.011824877,4.127721267,4.281320578,5.335680396,4.42411122,3.685349723,3.622875879,3.181537556,17,All
60,6.022383124,4.456494515,5.980552182,6.094439049,6.382219264,6.13698887,4.949641027,4.332501872,6.128868778,5.202080474,3.129891515,2.548552222,2.002530276,22,All
63,3.76473983,5.194007899,3.566605563,4.708886472,6.315649161,6.245223445,3.118030418,4.332640031,5.403588459,2.381537122,4.122383675,4.820705898,3.43289468,20,All
67,6.025340399,4.758471941,4.079156341,4.604615378,4.789589469,4.902778944,4.938482426,3.237569344,5.037300057,5.270511963,1.877465605,1.782196778,1.429588801,26,All
71,6.351153,5.238157095,4.982177913,5.122716187,5.772531994,5.583984317,5.162678386,4.219045919,5.428295241,5.712964328,1.467276411,1.474440779,1.312316922,25,All
76,6.065935587,4.765001848,4.911908605,4.983183971,5.365401781,5.116446097,4.056687913,3.751537599,5.333129391,4.229174303,2.603179833,2.758711346,1.751971478,19,All
83,5.529717348,5.046221959,3.941450981,4.129529048,4.93028508,4.929504843,4.093855081,4.947536855,6.216979548,3.738037345,2.381822319,3.134581645,2.036764171,16,All
84,5.850543866,5.105422143,4.582970202,4.537752026,5.618359444,5.079848555,4.13084254,4.748989098,5.888397381,3.731963804,2.423231544,2.356873433,1.949137835,15,All
85,5.936341719,4.934396991,4.883488458,4.93629531,5.660876717,5.331604097,4.145645542,4.586589553,5.516043582,4.460389618,3.30612014,2.912433503,2.76425705,29,All
88,4.685798046,4.91835735,6.014437844,6.133001504,6.335849655,6.235983809,5.223934482,4.690332103,5.719960936,4.147976045,4.733092797,3.934891151,4.792229482,19,All
91,4.269049001,4.748163137,3.562342857,4.107974085,4.7540704,4.773900468,3.222527929,3.417407543,3.993912937,3.652906274,3.359999472,3.588816459,2.278163951,18,All
92,7.172534123,5.072373443,6.141364124,6.450351623,7.239396128,7.129960266,5.741701124,4.685433384,5.957579304,6.33280927,2.304267387,2.220898986,1.998972399,21,All
93,4.48043582,5.098237326,3.634537083,4.022561049,5.263235021,5.170520271,3.149795235,4.073571371,4.964226362,2.773723513,3.628177896,4.067657247,2.809333795,20,All
95,7.020894196,4.564227259,4.150532396,5.524479464,6.132278224,6.058415835,5.608986019,3.874517583,5.118550455,5.895915631,1.668157924,1.553967975,1.391206648,26,All
96,4.561535226,4.487841831,4.587358846,3.979560045,4.738759935,4.707537466,3.463441642,3.953575444,4.574321073,3.314022711,3.675617811,3.46570032,3.210633209,15,All
100,6.051459689,4.959904332,3.403440453,3.307677409,4.455166041,4.091076354,3.479757493,4.005621057,4.896384299,3.074919925,1.860448511,1.781793658,1.895751153,18,All
101,4.4072968,5.827283936,5.479598682,5.76907886,6.575281478,6.319509762,4.620786052,4.395932638,5.967412738,4.111480025,4.12488302,4.212827573,4.319707206,20,All
105,5.87919926,4.910299916,3.858798593,3.787096856,3.823197535,3.83390472,3.321181342,4.319955736,5.118678384,3.602687551,1.972492143,2.116766875,2.186672551,20,All
106,5.000569619,5.811680137,3.036777761,4.009841466,4.960337706,4.024012745,3.592660392,3.779774849,5.483778888,2.612040016,2.598043704,2.979678824,1.874309351,19,All
109,3.366924629,6.546750705,6.056731693,5.58182328,6.189687373,6.193729081,3.087149035,4.392592285,5.870185406,2.667044506,5.816149133,6.381646042,4.472946525,23,All
113,3.049550352,5.090162443,4.262048274,4.359977425,5.667730873,4.856083832,2.48678597,4.351428384,5.48615,2.436808539,4.934828131,3.809640188,3.14313487,22,All
121,6.124005508,5.364771592,6.121572597,6.318366882,6.866224269,6.605034254,5.167037661,5.251578526,5.700868923,5.384649557,3.915633316,3.487569735,3.287489703,16,All
122,6.599808949,5.653816505,4.602305807,5.750734741,5.920367749,5.752646104,5.848378626,4.175304905,5.573413239,5.520317805,2.106097404,1.805390246,1.674283025,35,All
123,6.498728017,4.833062392,4.921255051,4.637975704,5.47412153,5.273379372,4.361916007,3.983897591,4.967527744,5.571555571,2.116244121,2.153571373,1.942021304,15,All
124,7.126920748,5.215927023,5.742277621,5.708327289,6.007346413,5.867487556,5.769963045,5.10641149,5.909682333,6.175553136,2.161720675,2.165568968,2.212664882,23,All
126,4.058333405,5.01889079,3.621173233,3.456748787,4.071851449,3.67045871,2.642617474,3.512869474,4.434482163,2.424558024,3.252937183,3.073040952,2.6175329,27,All
127,4.598335094,5.884289698,6.168662987,6.384079382,7.001780306,7.263983957,4.908235128,4.932696863,6.296231179,4.215832998,4.272609025,4.76539361,5.186697848,20,All
128,4.401272684,5.203228818,3.778657408,3.991356368,4.655562278,4.71104265,3.75920878,4.105100821,4.584190813,3.617082695,3.084290897,2.452919572,2.97198263,17,All
130,4.680460095,4.952485085,2.933117176,3.230841442,3.575376061,3.356944578,3.092055422,4.02101423,4.860999726,3.073851213,2.130662026,3.157424601,2.360804291,17,All
134,6.227723713,4.524777203,4.411887947,5.122086935,5.655823136,5.384761766,5.348796624,4.706515612,5.481797943,5.101648875,2.095144199,1.99132884,2.056449863,20,All
136,4.818426692,4.948515769,5.178243922,5.191273451,5.640396222,5.675020435,3.363176905,4.539139376,5.04973855,2.988780112,4.270465963,4.271773657,4.334816759,19,All
137,5.689669278,5.269673091,5.431174412,5.58512515,6.17316368,5.94926486,4.604862055,4.826888333,5.80962566,3.883741861,3.642563715,3.726700331,3.11713771,16,All
140,7.03701329,5.679858382,3.374704663,3.952540194,4.907494772,4.322841224,3.602957376,4.091216887,5.412788445,3.982027047,2.490548089,2.397160103,1.75565503,25,All
142,5.372746585,4.937401537,4.835752818,4.871847442,5.586829277,5.216612941,4.103116337,4.427372402,5.53343458,4.916000045,3.657072799,2.557092272,3.048971564,17,All
144,5.044135153,5.779283988,5.205749515,4.502968816,5.431987103,5.563085593,4.655012932,5.075495358,5.921336996,3.951650883,4.308329718,3.976164566,3.891117335,23,All
145,5.979090975,5.9688035,5.02561985,4.812385313,4.725118848,4.715092198,5.004475652,4.395154006,5.167671522,5.508662756,2.822442542,3.624773257,2.64974644,16,All
147,6.009936189,4.843569859,4.993654269,5.224249147,5.667473014,5.915837143,4.633652579,3.963940275,5.251824787,5.211635839,2.690236319,2.479631848,2.098678968,18,All
148,4.820211965,4.769716005,4.70093094,4.218350698,4.848648938,4.915186055,4.01545334,4.201249163,4.619406068,4.707782765,3.058267414,3.602395327,2.928221508,20,All
149,7.484010633,4.214635294,4.51440976,5.320654686,5.506026991,5.453831896,5.477314993,4.946570652,5.760201095,5.302380279,1.732527873,1.719302673,1.376858544,22,All
151,4.736967517,6.289954682,4.025106314,4.107348813,4.903324666,4.627160655,2.923606062,4.381424142,4.976692993,2.77153848,3.798035765,4.562693473,2.855560293,20,All
155,4.803864137,5.16715451,4.355650837,4.573740814,5.336870096,5.206254199,3.794069496,3.400184614,4.965868676,3.180444842,3.282631898,2.453977411,2.960199307,20,All
156,6.685382603,5.609815708,5.284321533,5.346575082,5.458313919,5.44865876,5.468572582,4.377684894,5.64137045,5.760267002,1.863893874,2.093153264,1.628534228,20,All
158,4.334873994,5.617008356,4.608938993,4.663339729,5.217935798,5.311030777,3.569365736,4.463055454,5.047460869,3.210006997,4.789978085,4.463607468,4.054461897,19,All
159,3.522778577,6.734691226,3.509917202,4.095674142,4.479186839,4.118094669,2.673983146,4.060094307,4.324254843,2.315787089,4.455034184,4.568138112,4.403024316,31,All
160,6.100168608,4.988002957,5.669222397,5.47956179,5.619440266,5.105360553,4.622477974,4.901607852,5.859155035,4.463696519,3.06498392,2.830904431,2.084910304,18,All
161,7.393308962,4.329341858,5.880226596,6.182954287,6.004695701,5.900628824,5.784333558,4.471744667,5.851235573,5.662713035,2.511617634,2.721888192,2.337876886,15,All
162,6.43067003,4.606858026,5.029741317,4.868770768,4.589408032,4.815496598,4.66360654,4.454120923,5.450028153,4.47780475,3.156554015,2.654728914,2.208416315,17,All
163,5.336811806,5.629620806,5.122937614,5.214093908,6.006395752,5.92861038,4.223522675,4.487983142,5.462781272,4.583180325,3.762698927,3.457390215,3.088987044,16,All
167,7.478798345,5.113312152,6.181898516,6.21650099,6.282617699,6.418990802,6.4331367,5.078049357,6.092508311,6.482018525,2.604812533,2.494035338,2.113789441,25,All
